x y z nx ny nz f_dc_0 f_dc_1 f_dc_2 f_rest_0 f_rest_1 f_rest_2 f_rest_3 f_rest_4 f_rest_5 f_rest_6 f_rest_7 f_rest_8 f_rest_9 f_rest_10 f_rest_11 f_rest_12 f_rest_13 f_rest_14 f_rest_15 f_rest_16 f_rest_17 f_rest_18 f_rest_19 f_rest_20 f_rest_21 f_rest_22 f_rest_23 f_rest_24 f_rest_25 f_rest_26 f_rest_27 f_rest_28 f_rest_29 f_rest_30 f_rest_31 f_rest_32 f_rest_33 f_rest_34 f_rest_35 f_rest_36 f_rest_37 f_rest_38 f_rest_39 f_rest_40 f_rest_41 f_rest_42 f_rest_43 f_rest_44 opacity scale_0 scale_1 scale_2 rot_0 rot_1 rot_2 rot_3
0.58030313 -3.6833935 3.4494572 0.0 0.0 0.0 2.2029529 1.6047189 1.6843605 0.046867937 0.07084619 0.048031412 0.0516027 0.05347934 0.057841364 0.06233605 0.045632284 0.007816379 -0.0003459915 0.036775876 0.01781639 0.010355103 0.014643974 0.027760897 0.024907025 0.040175624 0.06763778 0.07263724 0.040304214 0.043635704 0.07829278 0.025374664 -0.019867962 0.018055653 0.02335576 0.0152131375 0.025039276 -0.011234426 0.022649577 0.03226817 0.05258945 0.034300346 0.048367135 0.038258158 0.04372175 0.046226297 0.03054922 -0.013823437 -0.009772276 0.024070956 0.011813513 -0.011138126 -0.01560934 0.0029184911 -3.7844784 -4.4452734 -4.375313 -5.524935 0.666832 0.0965957 -0.3285227 0.022740938
2.0820625 -4.2211304 3.2249713 0.0 0.0 0.0 0.5880518 0.5565238 0.33313087 0.00829563 -0.014615981 0.037931226 0.01910082 0.004428953 -0.01742671 0.031837203 -0.014332577 -0.01005108 0.013114438 0.021738367 -0.014294615 0.029152777 -0.006309053 -0.015046424 0.011898255 -0.016436007 0.028159887 0.009731577 0.0037855718 -0.021580106 0.02967882 -0.01659768 -0.009704316 0.009987489 0.019121096 -0.017974246 0.031252563 -0.00755406 -0.011236641 0.009476237 -0.010072647 0.044306282 0.030784883 0.006977128 -0.011920092 0.03606997 -0.02467866 -0.023042547 0.015425491 0.025049798 -0.00833162 0.028415415 -0.01430546 -0.023843482 1.7631235 -4.4792995 -5.338885 -5.9078817 0.57043886 -0.40142873 -0.25363082 0.27271512
0.088020906 2.3269637 3.2026913 0.0 0.0 0.0 -1.6110992 -1.6795377 -1.7922347 -0.004352189 -0.017209921 0.000101612924 0.008671295 -0.0020371694 -0.00033702626 -0.020143144 -0.058498662 0.00031450533 0.03562931 0.017196916 0.017193621 -0.0022422813 -0.0447412 0.02253286 -0.0054392684 -0.017323866 0.0013461511 0.010002485 0.0026963959 -0.008693923 -0.016459227 -0.04606215 -0.0016412573 0.032193914 0.012105551 0.013632118 -0.00065574504 -0.034857105 0.019240353 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.8579457 -4.331648 -4.0449433 -3.782471 1.148642 0.054354325 0.018198738 0.10025158
1.9504979 -0.060704064 1.6209743 0.0 0.0 0.0 -0.85823387 -0.67704743 -1.2168388 -0.006647606 -0.017709773 0.058097698 -0.06528145 -0.033066075 -0.002370898 0.048638146 0.03386932 -0.006210723 -0.0510885 -0.03226515 -0.0049444158 0.025589686 0.01043419 0.04866525 -0.008777025 -0.014272598 0.050862826 -0.061689615 -0.033506554 0.00440516 0.04186114 0.014896364 -0.005216244 -0.04813744 -0.033035494 0.0056104856 0.024064338 -0.0028950253 0.04472976 -0.018100785 -0.02212757 0.044507205 -0.07099422 -0.038048737 -0.008925587 0.04436046 0.03752521 -0.021663649 -0.05465232 -0.029458858 -0.0240643 0.022232028 0.026212966 0.039199915 3.4147656 -5.6884236 -6.0491147 -3.614338 0.71461266 0.152614 -0.2667941 -0.047180794
2.0130134 0.011802439 1.5518416 0.0 0.0 0.0 0.28630897 0.45937997 0.29257748 0.028847838 0.013934044 -0.0060216906 0.015043175 0.020201657 0.028553171 -0.0080323955 -0.038678702 0.026792003 0.017837802 0.005665375 0.038197387 -0.025807347 -0.030065903 0.018946847 0.030227907 0.015583837 -0.00541647 0.017764837 0.021286719 0.027399994 -0.007399775 -0.04048646 0.026279192 0.018809643 0.009216866 0.038350265 -0.022802401 -0.029788747 0.020807518 0.01820605 0.013725846 -0.012987426 0.013369176 0.019514415 0.032323796 -0.011965781 -0.035310395 0.024175376 0.021837736 0.008581221 0.04247061 -0.03263853 -0.0287042 0.017706895 -2.273104 -5.081275 -5.7086625 -6.6095767 0.7049758 0.19069585 0.2793892 0.17633851
-0.29307953 0.144162 2.3616009 0.0 0.0 0.0 1.1553556 1.0285449 0.62838197 0.012749987 -0.036922865 0.014440083 -0.041056667 -0.003547361 -0.00017235415 0.040931333 -0.00467666 0.016841255 -0.07475451 0.023260877 0.02300724 -0.023388455 -0.022763038 -0.0024955324 0.01830249 -0.044449955 0.013632163 -0.037172798 -0.0027308308 -0.0076538385 0.043782037 -0.0025106806 0.019360779 -0.07662699 0.020769203 0.023486475 -0.025655761 -0.027426468 -0.0041607553 0.022394879 -0.048837654 0.014397582 -0.0090301735 0.0074376105 -0.00557905 0.069262005 0.005133936 0.032403808 -0.07505836 0.04013758 0.041532334 -0.016960172 -0.038946066 -0.010905821 0.69714636 -6.0064826 -4.464847 -4.88951 0.9693599 0.06609595 -0.100915946 0.12294762
1.9394463 -3.1892412 3.8918502 0.0 0.0 0.0 0.8408269 0.89524007 0.7941068 -0.035645027 -0.020080045 -0.02918086 -0.025103215 -0.023875697 -0.0141509455 -0.018476907 0.045853324 0.025012827 -0.005704364 -2.9974066e-05 0.00038892674 -0.010032107 0.022457927 -0.015178572 -0.027236992 -0.01679454 -0.03315524 -0.013641613 -0.016547784 -0.007889217 -0.012001486 0.024843354 0.02086896 -0.005476503 0.0016083291 0.011502257 -0.0059153554 0.011192175 -0.026841048 -0.025842197 -0.014799895 -0.03325006 -0.009191212 -0.012349017 -0.004918959 -0.012702759 0.013694474 0.017285332 0.00054826087 0.007822355 0.016788082 -0.009155936 -0.00911509 -0.0415124 -2.8674762 -3.2453306 -4.734005 -4.1909313 0.5649211 -0.12723105 -0.38914376 0.030730907
1.8929983 -4.170315 3.2793784 0.0 0.0 0.0 -1.4901834 -1.4892439 -1.5734645 0.002226023 -0.04976559 0.028098473 -0.036770243 -0.019755907 -0.05511507 0.02607719 -0.071422175 -0.049101282 -0.00044403822 -0.0677851 -0.06462923 0.023678357 -0.018450728 0.072735906 0.008492505 -0.04941435 0.029988773 -0.037258755 -0.017647495 -0.057352986 0.030409371 -0.07479935 -0.04719481 -0.0024345585 -0.06937584 -0.06849924 0.024490869 -0.016674664 0.07486044 0.0042874985 -0.035684396 0.015742807 -0.03751957 -0.008986985 -0.051624782 0.0150949545 -0.061756685 -0.043910246 -0.0050498834 -0.049444456 -0.043294642 0.024627171 -0.028385818 0.061679278 3.5052526 -5.2315474 -5.37035 -6.0860567 0.5678132 -0.3762339 -0.16054793 0.2326782
1.745375 0.007451847 1.535146 0.0 0.0 0.0 0.4199523 0.49569124 0.15511541 0.0957863 0.016371043 -0.024022732 0.061228745 0.0784139 0.012109793 -0.0025712156 0.066897765 -0.006340766 0.05532151 0.058752663 0.01038416 -0.01492996 0.056197003 0.01565633 0.09287912 0.013498466 -0.024174588 0.05255705 0.076188296 0.009712268 -0.002441803 0.05973408 -0.0029485845 0.04972237 0.05906239 0.010099541 -0.012060517 0.04952144 0.011218804 0.042396545 0.011136804 -0.042790987 0.083416045 0.035311624 0.0068772202 -0.026945034 0.085035786 -0.009091415 0.07456808 0.03755323 0.0049356516 -0.019990712 0.071330555 0.031425845 -1.8829427 -4.1145353 -5.6106286 -3.9114935 0.95100236 -0.11912597 -0.19218136 -0.011975089
4.948901 -2.0959916 13.86042 0.0 0.0 0.0 0.6355123 0.7571131 0.24764265 0.035556804 -0.007438492 0.0010872021 -0.027497528 0.023948958 0.0024605552 -0.007712526 0.0032472778 0.036344048 -0.034436222 0.030611256 -0.004675211 -0.008156891 0.007897026 0.012511457 0.046036575 -0.010934398 0.0068885987 -0.034061667 0.03222997 0.0013619366 -0.0039981087 -0.0018240485 0.040363107 -0.038073193 0.035242148 -0.0060735526 -0.0041173687 0.0037025209 0.012516812 0.042311292 0.002380492 -0.009827772 -0.032238133 0.028884852 0.0051841936 -0.011022478 0.005634778 0.03964923 -0.039564718 0.037359033 0.0010972671 -0.011972527 0.008563296 0.016819047 1.4512255 -3.5467522 -2.5145764 -1.6964862 1.1439631 -0.09793796 0.008579305 -0.10384442
